cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_Cterm_Cell_27_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_Cterm_Cell_27_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.12_1073_Cell_28_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.12_1073_Cell_28_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_1073_Cell_6_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_1073_Cell_6_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_1073_Cell_26_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_1073_Cell_26_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_1073_Cell_4_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_1073_Cell_4_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.12_Cterm_Cell_5_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.12_Cterm_Cell_5_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.12_noTag_Cell_19_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.12_noTag_Cell_19_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.12_noTag_Cell_17_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.12_noTag_Cell_17_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_noTag_Cell_2_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_noTag_Cell_2_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_1073_Cell_7_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_1073_Cell_7_Vinculin.tif' are the same file
cp: '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_Cterm_Cell_18_Vinculin.tif' and '/users/s/m/smyersn/Vinculin/Vinculin_test_data/Vinculin_training_data_nuclei_results/2024.01.19_Cterm_Cell_18_Vinculin.tif' are the same file
